des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname,Potentially Hazardous,Estimated Diameter (km)
2025 FH21,1,2460766.716978829,2025-Apr-01 05:12,0.00768497900630162,0.0076543654058707,0.00771559110989117,10.5839748992168,10.5511657835922,00:01,27.39,       (2025 FH21),No,1.1815741010667842
2025 GO,5,2460766.883935597,2025-Apr-01 09:13,0.0267984637819711,0.0267172234751782,0.0268797026717142,8.31958066847206,8.30762116125846,< 00:01,25.88,       (2025 GO),No,2.3684322338475075
2025 FC6,4,2460766.912859091,2025-Apr-01 09:55,0.0302419308703492,0.0301488984489654,0.0303349625103746,11.4092846768005,11.401559801587,< 00:01,26.05,       (2025 FC6),No,2.1900849617352116
2025 FL7,3,2460766.983342803,2025-Apr-01 11:36,0.0323860380624061,0.0323093935819263,0.0324626817587,8.73522136148154,8.72579780275148,< 00:01,26.21,       (2025 FL7),No,2.034515313644235
811221,47,2460767.054521775,2025-Apr-01 13:19,0.0169277220049423,0.0169276682122095,0.016927775797677,7.43634566996611,7.41514870513853,< 00:01,22.58,811221 (2022 FR3),No,10.825824019948719
2025 GA,3,2460767.616590421,2025-Apr-02 02:48,0.000568376539792959,0.0005678588647644,0.000568894154400754,10.6541653465619,10.2046795700169,< 00:01,28.72,       (2025 GA),No,0.6404142148536967
2025 GL,4,2460767.632926519,2025-Apr-02 03:11,0.00290535978600357,0.0029019842116509,0.00290873505200718,5.83264969039851,5.67323720573929,< 00:01,29.46,       (2025 GL),No,0.455471243939635
2025 FN20,1,2460767.662120881,2025-Apr-02 03:53,0.0409325593275693,0.0406689253545424,0.0411961920774441,18.990583192823,18.9871551648719,< 00:01,24.49,       (2025 FN20),No,4.492219441925915
2025 FM18,3,2460767.698609720,2025-Apr-02 04:46,0.00185528484518211,0.0018531274963358,0.00185744210925185,12.8142268303733,12.7016572271466,< 00:01,29.27,       (2025 FM18),No,0.49711968772820914
2025 FP6,2,2460768.059416157,2025-Apr-02 13:26,0.0494373915809789,0.0492180130146139,0.0496567680766665,10.0737417100638,10.0683901381033,< 00:01,25.7,       (2025 FP6),No,2.5731254666525354
2025 GN,5,2460768.547901626,2025-Apr-03 01:09,0.0186129795787985,0.0185798321543792,0.0186461267037151,10.5394426247652,10.5258513896143,< 00:01,25.23,       (2025 GN),No,3.194927173393922
2025 GB,8,2460768.558959386,2025-Apr-03 01:25,0.0048360867591458,0.0048360565548682,0.00483611696341925,8.41934309848964,8.35364727341326,< 00:01,24.8,       (2025 GB),No,3.8945829936896095
2025 FA15,5,2460768.846170099,2025-Apr-03 08:18,0.0139011153645838,0.0138671387102917,0.0139350918866886,21.9311259525035,21.922384404602,< 00:01,25.61,       (2025 FA15),No,2.682013521907721
2025 FY14,7,2460768.981540820,2025-Apr-03 11:33,0.00367343035240493,0.0036711654149462,0.00367569519449848,6.45618225658582,6.34283950151421,< 00:01,27.19,       (2025 FY14),No,1.295570238947213
2025 GJ,4,2460769.352131207,2025-Apr-03 20:27,0.00969459130949071,0.0096791637303896,0.00971001810029573,5.89817361641131,5.85139028985942,< 00:01,28.44,       (2025 GJ),No,0.728552685046753
2025 FO16,3,2460769.452683702,2025-Apr-03 22:52,0.0139794392328882,0.0139144467057007,0.0140444302758965,12.4671158819843,12.4518182876814,< 00:01,26.26,       (2025 FO16),No,1.9882040910977328
2004 FC18,13,2460769.502557318,2025-Apr-04 00:04,0.0470177870619519,0.0470145067122582,0.0470210674165365,18.4545978029334,18.4515267894434,< 00:01,24.17,       (2004 FC18),No,5.205482168183558
2025 FW5,6,2460769.616577310,2025-Apr-04 02:48,0.0339526007460791,0.0336603101750541,0.0342448894158016,20.3531672626649,20.3493111612152,< 00:01,23.79,       (2025 FW5),No,6.200989030777681
2020 XT2,13,2460769.910455413,2025-Apr-04 09:51,0.0352210594558091,0.0352209430318112,0.0352211758798771,6.1824271521881,6.17017869600241,< 00:01,24.75,       (2020 XT2),No,3.9852994852983845
2023 GC2,2,2460770.090141682,2025-Apr-04 14:10,0.0441999266785758,0.0441903149490025,0.0442095393149366,6.25121117129167,6.24156040042464,< 00:01,27.29,       (2023 GC2),No,1.2372599728646099
2025 GH,4,2460770.226464186,2025-Apr-04 17:26,0.00604249700877871,0.0060243375398161,0.00606065624817753,20.5519111060905,20.530444144726,< 00:01,24.65,       (2025 GH),No,4.173120863588498
